site,plot,canopy,species,cohort,count 1,count 2
RP-2-1,A,Closed,PICENG,2018,0,0
RP-2-1,B,Closed,PICENG,2018,0,0
RP-2-1,C,Closed,PICENG,2018,0,0
RP-2-2,A,Open,PICENG,2018,0,0
RP-2-2,B,Open,PICENG,2018,0,0
RP-2-2,C,Open,PICENG,2018,0,0
RP-3B-1,A,Closed,PICENG,2018,0,0
RP-3B-1,B,Closed,PICENG,2018,0,0
RP-3B-1,C,Closed,PICENG,2018,0,0
RP-3B-2,A,Open,PICENG,2018,0,0
RP-3B-2,B,Open,PICENG,2018,0,0
RP-3B-2,C,Open,PICENG,2018,0,0
RP-4-1,A,Closed,PICENG,2018,0,0
RP-4-1,B,Closed,PICENG,2018,0,0
RP-4-1,C,Closed,PICENG,2018,0,0
RP-4-2,A,Open,PICENG,2018,0,0
RP-4-2,B,Open,PICENG,2018,0,0
RP-4-2,C,Open,PICENG,2018,0,0
RP-5-1,A,Closed,PICENG,2018,0,0
RP-5-1,B,Closed,PICENG,2018,0,0
RP-5-1,C,Closed,PICENG,2018,0,0
RP-5-2,A,Open,PICENG,2018,0,0
RP-5-2,B,Open,PICENG,2018,0,0
RP-5-2,C,Open,PICENG,2018,0,0
RP-6-1,A,Closed,PICENG,2018,0,0
RP-6-1,B,Closed,PICENG,2018,0,0
RP-6-1,C,Closed,PICENG,2018,0,0
RP-6-2,A,Open,PICENG,2018,0,0
RP-6-2,B,Open,PICENG,2018,0,0
RP-6-2,C,Open,PICENG,2018,0,0
RP-7-1,A,Closed,PICENG,2018,0,0
RP-7-1,B,Closed,PICENG,2018,0,0
RP-7-1,C,Closed,PICENG,2018,0,0
RP-7-2,A,Open,PICENG,2018,0,0
RP-7-2,B,Open,PICENG,2018,0,0
RP-7-2,C,Open,PICENG,2018,0,0
RPN-2-1,A,Closed,PICENG,2018,0,0
RPN-2-1,B,Closed,PICENG,2018,0,0
RPN-2-1,C,Closed,PICENG,2018,0,0
RPN-2-2,A,Open,PICENG,2018,0,0
RPN-2-2,B,Open,PICENG,2018,0,0
RPN-2-2,C,Open,PICENG,2018,0,0
RPN-3-1,A,Closed,PICENG,2018,0,0
RPN-3-1,B,Closed,PICENG,2018,0,0
RPN-3-1,C,Closed,PICENG,2018,0,0
RPN-3-2,A,Open,PICENG,2018,0,0
RPN-3-2,B,Open,PICENG,2018,0,0
RPN-3-2,C,Open,PICENG,2018,0,0
RPN-4-1,A,Closed,PICENG,2018,0,0
RPN-4-1,B,Closed,PICENG,2018,0,0
RPN-4-1,C,Closed,PICENG,2018,0,0
RPN-4-2,A,Open,PICENG,2018,0,0
RPN-4-2,B,Open,PICENG,2018,0,0
RPN-4-2,C,Open,PICENG,2018,0,0
RPN-5-1,A,Closed,PICENG,2018,0,0
RPN-5-1,B,Closed,PICENG,2018,0,0
RPN-5-1,C,Closed,PICENG,2018,0,0
RPN-5-2,A,Open,PICENG,2018,0,0
RPN-5-2,B,Open,PICENG,2018,0,0
RPN-5-2,C,Open,PICENG,2018,0,0
RPN-6-1,A,Closed,PICENG,2018,0,0
RPN-6-1,B,Closed,PICENG,2018,0,0
RPN-6-1,C,Closed,PICENG,2018,0,0
RPN-6-2,A,Open,PICENG,2018,0,0
RPN-6-2,B,Open,PICENG,2018,0,0
RPN-6-2,C,Open,PICENG,2018,0,0
RPN-7-1,A,Closed,PICENG,2018,0,0
RPN-7-1,B,Closed,PICENG,2018,0,0
RPN-7-1,C,Closed,PICENG,2018,0,0
RPN-7-2,A,Open,PICENG,2018,0,0
RPN-7-2,B,Open,PICENG,2018,0,0
RPN-7-2,C,Open,PICENG,2018,0,0
RP-2-1,A,Closed,PICENG,2019,0,0
RP-2-1,B,Closed,PICENG,2019,0,0
RP-2-1,C,Closed,PICENG,2019,0,0
RP-2-2,A,Open,PICENG,2019,0,0
RP-2-2,B,Open,PICENG,2019,0,0
RP-2-2,C,Open,PICENG,2019,0,0
RP-3B-1,A,Closed,PICENG,2019,0,0
RP-3B-1,B,Closed,PICENG,2019,0,0
RP-3B-1,C,Closed,PICENG,2019,0,0
RP-3B-2,A,Open,PICENG,2019,0,0
RP-3B-2,B,Open,PICENG,2019,0,0
RP-3B-2,C,Open,PICENG,2019,0,0
RP-4-1,A,Closed,PICENG,2019,0,0
RP-4-1,B,Closed,PICENG,2019,0,0
RP-4-1,C,Closed,PICENG,2019,0,0
RP-4-2,A,Open,PICENG,2019,0,0
RP-4-2,B,Open,PICENG,2019,0,0
RP-4-2,C,Open,PICENG,2019,0,0
RP-5-1,A,Closed,PICENG,2019,0,0
RP-5-1,B,Closed,PICENG,2019,0,0
RP-5-1,C,Closed,PICENG,2019,0,0
RP-5-2,A,Open,PICENG,2019,0,0
RP-5-2,B,Open,PICENG,2019,0,0
RP-5-2,C,Open,PICENG,2019,0,0
RP-6-1,A,Closed,PICENG,2019,0,0
RP-6-1,B,Closed,PICENG,2019,0,0
RP-6-1,C,Closed,PICENG,2019,0,0
RP-6-2,A,Open,PICENG,2019,0,0
RP-6-2,B,Open,PICENG,2019,0,0
RP-6-2,C,Open,PICENG,2019,0,0
RP-7-1,A,Closed,PICENG,2019,0,0
RP-7-1,B,Closed,PICENG,2019,0,0
RP-7-1,C,Closed,PICENG,2019,0,0
RP-7-2,A,Open,PICENG,2019,0,0
RP-7-2,B,Open,PICENG,2019,0,0
RP-7-2,C,Open,PICENG,2019,0,0
RPN-2-1,A,Closed,PICENG,2019,0,0
RPN-2-1,B,Closed,PICENG,2019,0,0
RPN-2-1,C,Closed,PICENG,2019,0,0
RPN-2-2,A,Open,PICENG,2019,0,0
RPN-2-2,B,Open,PICENG,2019,0,0
RPN-2-2,C,Open,PICENG,2019,0,0
RPN-3-1,A,Closed,PICENG,2019,7,0
RPN-3-1,B,Closed,PICENG,2019,0,0
RPN-3-1,C,Closed,PICENG,2019,0,0
RPN-3-2,A,Open,PICENG,2019,0,0
RPN-3-2,B,Open,PICENG,2019,1,0
RPN-3-2,C,Open,PICENG,2019,0,0
RPN-4-1,A,Closed,PICENG,2019,2,0
RPN-4-1,B,Closed,PICENG,2019,5,0
RPN-4-1,C,Closed,PICENG,2019,4,0
RPN-4-2,A,Open,PICENG,2019,0,0
RPN-4-2,B,Open,PICENG,2019,1,0
RPN-4-2,C,Open,PICENG,2019,0,0
RPN-5-1,A,Closed,PICENG,2019,31,0
RPN-5-1,B,Closed,PICENG,2019,8,0
RPN-5-1,C,Closed,PICENG,2019,1,0
RPN-5-2,A,Open,PICENG,2019,0,0
RPN-5-2,B,Open,PICENG,2019,1,0
RPN-5-2,C,Open,PICENG,2019,0,0
RPN-6-1,A,Closed,PICENG,2019,0,0
RPN-6-1,B,Closed,PICENG,2019,4,0
RPN-6-1,C,Closed,PICENG,2019,3,0
RPN-6-2,A,Open,PICENG,2019,5,0
RPN-6-2,B,Open,PICENG,2019,0,0
RPN-6-2,C,Open,PICENG,2019,2,0
RPN-7-1,A,Closed,PICENG,2019,34,0
RPN-7-1,B,Closed,PICENG,2019,1,0
RPN-7-1,C,Closed,PICENG,2019,0,0
RPN-7-2,A,Open,PICENG,2019,70,0
RPN-7-2,B,Open,PICENG,2019,19,0
RPN-7-2,C,Open,PICENG,2019,0,0
RP-2-1,A,Closed,PINPON,2018,0,0
RP-2-1,B,Closed,PINPON,2018,0,0
RP-2-1,C,Closed,PINPON,2018,0,0
RP-2-2,A,Open,PINPON,2018,0,0
RP-2-2,B,Open,PINPON,2018,0,0
RP-2-2,C,Open,PINPON,2018,0,0
RP-3B-1,A,Closed,PINPON,2018,0,0
RP-3B-1,B,Closed,PINPON,2018,0,0
RP-3B-1,C,Closed,PINPON,2018,0,0
RP-3B-2,A,Open,PINPON,2018,0,0
RP-3B-2,B,Open,PINPON,2018,0,0
RP-3B-2,C,Open,PINPON,2018,0,0
RP-4-1,A,Closed,PINPON,2018,0,0
RP-4-1,B,Closed,PINPON,2018,0,0
RP-4-1,C,Closed,PINPON,2018,0,0
RP-4-2,A,Open,PINPON,2018,0,0
RP-4-2,B,Open,PINPON,2018,0,0
RP-4-2,C,Open,PINPON,2018,0,0
RP-5-1,A,Closed,PINPON,2018,0,0
RP-5-1,B,Closed,PINPON,2018,0,0
RP-5-1,C,Closed,PINPON,2018,0,0
RP-5-2,A,Open,PINPON,2018,0,0
RP-5-2,B,Open,PINPON,2018,0,0
RP-5-2,C,Open,PINPON,2018,0,0
RP-6-1,A,Closed,PINPON,2018,0,0
RP-6-1,B,Closed,PINPON,2018,0,0
RP-6-1,C,Closed,PINPON,2018,0,0
RP-6-2,A,Open,PINPON,2018,0,0
RP-6-2,B,Open,PINPON,2018,0,0
RP-6-2,C,Open,PINPON,2018,0,0
RP-7-1,A,Closed,PINPON,2018,0,0
RP-7-1,B,Closed,PINPON,2018,0,0
RP-7-1,C,Closed,PINPON,2018,0,0
RP-7-2,A,Open,PINPON,2018,0,0
RP-7-2,B,Open,PINPON,2018,0,0
RP-7-2,C,Open,PINPON,2018,0,0
RPN-2-1,A,Closed,PINPON,2018,0,0
RPN-2-1,B,Closed,PINPON,2018,0,0
RPN-2-1,C,Closed,PINPON,2018,1,0
RPN-2-2,A,Open,PINPON,2018,0,0
RPN-2-2,B,Open,PINPON,2018,0,0
RPN-2-2,C,Open,PINPON,2018,0,0
RPN-3-1,A,Closed,PINPON,2018,0,0
RPN-3-1,B,Closed,PINPON,2018,0,0
RPN-3-1,C,Closed,PINPON,2018,0,0
RPN-3-2,A,Open,PINPON,2018,0,0
RPN-3-2,B,Open,PINPON,2018,0,0
RPN-3-2,C,Open,PINPON,2018,0,0
RPN-4-1,A,Closed,PINPON,2018,1,0
RPN-4-1,B,Closed,PINPON,2018,0,0
RPN-4-1,C,Closed,PINPON,2018,1,0
RPN-4-2,A,Open,PINPON,2018,0,0
RPN-4-2,B,Open,PINPON,2018,0,0
RPN-4-2,C,Open,PINPON,2018,0,0
RPN-5-1,A,Closed,PINPON,2018,0,0
RPN-5-1,B,Closed,PINPON,2018,0,0
RPN-5-1,C,Closed,PINPON,2018,0,0
RPN-5-2,A,Open,PINPON,2018,0,0
RPN-5-2,B,Open,PINPON,2018,0,0
RPN-5-2,C,Open,PINPON,2018,0,0
RPN-6-1,A,Closed,PINPON,2018,0,0
RPN-6-1,B,Closed,PINPON,2018,0,0
RPN-6-1,C,Closed,PINPON,2018,0,0
RPN-6-2,A,Open,PINPON,2018,1,0
RPN-6-2,B,Open,PINPON,2018,0,0
RPN-6-2,C,Open,PINPON,2018,0,0
RPN-7-1,A,Closed,PINPON,2018,0,0
RPN-7-1,B,Closed,PINPON,2018,0,0
RPN-7-1,C,Closed,PINPON,2018,0,0
RPN-7-2,A,Open,PINPON,2018,0,0
RPN-7-2,B,Open,PINPON,2018,0,0
RPN-7-2,C,Open,PINPON,2018,0,0
RP-2-1,A,Closed,PINPON,2019,0,0
RP-2-1,B,Closed,PINPON,2019,0,0
RP-2-1,C,Closed,PINPON,2019,0,0
RP-2-2,A,Open,PINPON,2019,0,0
RP-2-2,B,Open,PINPON,2019,0,0
RP-2-2,C,Open,PINPON,2019,0,0
RP-3B-1,A,Closed,PINPON,2019,0,0
RP-3B-1,B,Closed,PINPON,2019,0,0
RP-3B-1,C,Closed,PINPON,2019,0,0
RP-3B-2,A,Open,PINPON,2019,0,0
RP-3B-2,B,Open,PINPON,2019,0,0
RP-3B-2,C,Open,PINPON,2019,0,0
RP-4-1,A,Closed,PINPON,2019,0,0
RP-4-1,B,Closed,PINPON,2019,0,0
RP-4-1,C,Closed,PINPON,2019,0,0
RP-4-2,A,Open,PINPON,2019,0,0
RP-4-2,B,Open,PINPON,2019,0,0
RP-4-2,C,Open,PINPON,2019,0,0
RP-5-1,A,Closed,PINPON,2019,0,0
RP-5-1,B,Closed,PINPON,2019,0,0
RP-5-1,C,Closed,PINPON,2019,0,0
RP-5-2,A,Open,PINPON,2019,0,0
RP-5-2,B,Open,PINPON,2019,0,0
RP-5-2,C,Open,PINPON,2019,0,0
RP-6-1,A,Closed,PINPON,2019,0,0
RP-6-1,B,Closed,PINPON,2019,0,0
RP-6-1,C,Closed,PINPON,2019,0,0
RP-6-2,A,Open,PINPON,2019,0,0
RP-6-2,B,Open,PINPON,2019,2,0
RP-6-2,C,Open,PINPON,2019,0,0
RP-7-1,A,Closed,PINPON,2019,0,0
RP-7-1,B,Closed,PINPON,2019,0,0
RP-7-1,C,Closed,PINPON,2019,0,0
RP-7-2,A,Open,PINPON,2019,0,0
RP-7-2,B,Open,PINPON,2019,0,0
RP-7-2,C,Open,PINPON,2019,0,0
RPN-2-1,A,Closed,PINPON,2019,0,0
RPN-2-1,B,Closed,PINPON,2019,0,0
RPN-2-1,C,Closed,PINPON,2019,0,0
RPN-2-2,A,Open,PINPON,2019,0,0
RPN-2-2,B,Open,PINPON,2019,0,0
RPN-2-2,C,Open,PINPON,2019,0,0
RPN-3-1,A,Closed,PINPON,2019,0,0
RPN-3-1,B,Closed,PINPON,2019,0,0
RPN-3-1,C,Closed,PINPON,2019,0,0
RPN-3-2,A,Open,PINPON,2019,0,0
RPN-3-2,B,Open,PINPON,2019,0,0
RPN-3-2,C,Open,PINPON,2019,0,0
RPN-4-1,A,Closed,PINPON,2019,0,0
RPN-4-1,B,Closed,PINPON,2019,0,0
RPN-4-1,C,Closed,PINPON,2019,0,0
RPN-4-2,A,Open,PINPON,2019,0,0
RPN-4-2,B,Open,PINPON,2019,0,0
RPN-4-2,C,Open,PINPON,2019,0,0
RPN-5-1,A,Closed,PINPON,2019,0,0
RPN-5-1,B,Closed,PINPON,2019,0,0
RPN-5-1,C,Closed,PINPON,2019,0,0
RPN-5-2,A,Open,PINPON,2019,0,0
RPN-5-2,B,Open,PINPON,2019,0,0
RPN-5-2,C,Open,PINPON,2019,0,0
RPN-6-1,A,Closed,PINPON,2019,0,0
RPN-6-1,B,Closed,PINPON,2019,0,0
RPN-6-1,C,Closed,PINPON,2019,0,0
RPN-6-2,A,Open,PINPON,2019,0,0
RPN-6-2,B,Open,PINPON,2019,0,0
RPN-6-2,C,Open,PINPON,2019,0,0
RPN-7-1,A,Closed,PINPON,2019,0,0
RPN-7-1,B,Closed,PINPON,2019,0,0
RPN-7-1,C,Closed,PINPON,2019,0,0
RPN-7-2,A,Open,PINPON,2019,0,0
RPN-7-2,B,Open,PINPON,2019,0,0
RPN-7-2,C,Open,PINPON,2019,0,0
RP-2-1,A,Closed,ABILAS,2018,0,0
RP-2-1,B,Closed,ABILAS,2018,0,0
RP-2-1,C,Closed,ABILAS,2018,0,0
RP-2-2,A,Open,ABILAS,2018,0,0
RP-2-2,B,Open,ABILAS,2018,0,0
RP-2-2,C,Open,ABILAS,2018,0,0
RP-3B-1,A,Closed,ABILAS,2018,0,0
RP-3B-1,B,Closed,ABILAS,2018,0,0
RP-3B-1,C,Closed,ABILAS,2018,0,0
RP-3B-2,A,Open,ABILAS,2018,0,0
RP-3B-2,B,Open,ABILAS,2018,0,0
RP-3B-2,C,Open,ABILAS,2018,0,0
RP-4-1,A,Closed,ABILAS,2018,0,0
RP-4-1,B,Closed,ABILAS,2018,0,0
RP-4-1,C,Closed,ABILAS,2018,0,0
RP-4-2,A,Open,ABILAS,2018,0,0
RP-4-2,B,Open,ABILAS,2018,0,0
RP-4-2,C,Open,ABILAS,2018,0,0
RP-5-1,A,Closed,ABILAS,2018,0,0
RP-5-1,B,Closed,ABILAS,2018,0,0
RP-5-1,C,Closed,ABILAS,2018,0,0
RP-5-2,A,Open,ABILAS,2018,0,0
RP-5-2,B,Open,ABILAS,2018,0,0
RP-5-2,C,Open,ABILAS,2018,0,0
RP-6-1,A,Closed,ABILAS,2018,0,0
RP-6-1,B,Closed,ABILAS,2018,0,0
RP-6-1,C,Closed,ABILAS,2018,0,0
RP-6-2,A,Open,ABILAS,2018,0,0
RP-6-2,B,Open,ABILAS,2018,0,0
RP-6-2,C,Open,ABILAS,2018,0,0
RP-7-1,A,Closed,ABILAS,2018,0,0
RP-7-1,B,Closed,ABILAS,2018,0,0
RP-7-1,C,Closed,ABILAS,2018,0,0
RP-7-2,A,Open,ABILAS,2018,0,0
RP-7-2,B,Open,ABILAS,2018,0,0
RP-7-2,C,Open,ABILAS,2018,0,0
RPN-2-1,A,Closed,ABILAS,2018,0,0
RPN-2-1,B,Closed,ABILAS,2018,0,0
RPN-2-1,C,Closed,ABILAS,2018,0,0
RPN-2-2,A,Open,ABILAS,2018,0,0
RPN-2-2,B,Open,ABILAS,2018,0,0
RPN-2-2,C,Open,ABILAS,2018,0,0
RPN-3-1,A,Closed,ABILAS,2018,0,0
RPN-3-1,B,Closed,ABILAS,2018,0,0
RPN-3-1,C,Closed,ABILAS,2018,0,0
RPN-3-2,A,Open,ABILAS,2018,0,0
RPN-3-2,B,Open,ABILAS,2018,0,0
RPN-3-2,C,Open,ABILAS,2018,0,0
RPN-4-1,A,Closed,ABILAS,2018,0,0
RPN-4-1,B,Closed,ABILAS,2018,0,0
RPN-4-1,C,Closed,ABILAS,2018,0,0
RPN-4-2,A,Open,ABILAS,2018,0,0
RPN-4-2,B,Open,ABILAS,2018,0,0
RPN-4-2,C,Open,ABILAS,2018,0,0
RPN-5-1,A,Closed,ABILAS,2018,0,0
RPN-5-1,B,Closed,ABILAS,2018,0,0
RPN-5-1,C,Closed,ABILAS,2018,0,0
RPN-5-2,A,Open,ABILAS,2018,0,0
RPN-5-2,B,Open,ABILAS,2018,0,0
RPN-5-2,C,Open,ABILAS,2018,0,0
RPN-6-1,A,Closed,ABILAS,2018,0,0
RPN-6-1,B,Closed,ABILAS,2018,0,0
RPN-6-1,C,Closed,ABILAS,2018,0,0
RPN-6-2,A,Open,ABILAS,2018,0,0
RPN-6-2,B,Open,ABILAS,2018,0,0
RPN-6-2,C,Open,ABILAS,2018,0,0
RPN-7-1,A,Closed,ABILAS,2018,0,0
RPN-7-1,B,Closed,ABILAS,2018,0,0
RPN-7-1,C,Closed,ABILAS,2018,0,0
RPN-7-2,A,Open,ABILAS,2018,0,0
RPN-7-2,B,Open,ABILAS,2018,0,0
RPN-7-2,C,Open,ABILAS,2018,0,0
RP-2-1,A,Closed,ABILAS,2019,0,0
RP-2-1,B,Closed,ABILAS,2019,0,0
RP-2-1,C,Closed,ABILAS,2019,0,0
RP-2-2,A,Open,ABILAS,2019,0,0
RP-2-2,B,Open,ABILAS,2019,0,0
RP-2-2,C,Open,ABILAS,2019,0,0
RP-3B-1,A,Closed,ABILAS,2019,0,0
RP-3B-1,B,Closed,ABILAS,2019,0,0
RP-3B-1,C,Closed,ABILAS,2019,0,0
RP-3B-2,A,Open,ABILAS,2019,0,0
RP-3B-2,B,Open,ABILAS,2019,0,0
RP-3B-2,C,Open,ABILAS,2019,0,0
RP-4-1,A,Closed,ABILAS,2019,0,0
RP-4-1,B,Closed,ABILAS,2019,0,0
RP-4-1,C,Closed,ABILAS,2019,0,0
RP-4-2,A,Open,ABILAS,2019,0,0
RP-4-2,B,Open,ABILAS,2019,0,0
RP-4-2,C,Open,ABILAS,2019,0,0
RP-5-1,A,Closed,ABILAS,2019,0,0
RP-5-1,B,Closed,ABILAS,2019,0,0
RP-5-1,C,Closed,ABILAS,2019,0,0
RP-5-2,A,Open,ABILAS,2019,0,0
RP-5-2,B,Open,ABILAS,2019,0,0
RP-5-2,C,Open,ABILAS,2019,0,0
RP-6-1,A,Closed,ABILAS,2019,0,0
RP-6-1,B,Closed,ABILAS,2019,0,0
RP-6-1,C,Closed,ABILAS,2019,0,0
RP-6-2,A,Open,ABILAS,2019,0,0
RP-6-2,B,Open,ABILAS,2019,0,0
RP-6-2,C,Open,ABILAS,2019,0,0
RP-7-1,A,Closed,ABILAS,2019,0,0
RP-7-1,B,Closed,ABILAS,2019,0,0
RP-7-1,C,Closed,ABILAS,2019,0,0
RP-7-2,A,Open,ABILAS,2019,0,0
RP-7-2,B,Open,ABILAS,2019,0,0
RP-7-2,C,Open,ABILAS,2019,0,0
RPN-2-1,A,Closed,ABILAS,2019,0,0
RPN-2-1,B,Closed,ABILAS,2019,0,0
RPN-2-1,C,Closed,ABILAS,2019,0,0
RPN-2-2,A,Open,ABILAS,2019,0,0
RPN-2-2,B,Open,ABILAS,2019,0,0
RPN-2-2,C,Open,ABILAS,2019,0,0
RPN-3-1,A,Closed,ABILAS,2019,0,0
RPN-3-1,B,Closed,ABILAS,2019,0,0
RPN-3-1,C,Closed,ABILAS,2019,0,0
RPN-3-2,A,Open,ABILAS,2019,0,0
RPN-3-2,B,Open,ABILAS,2019,0,0
RPN-3-2,C,Open,ABILAS,2019,0,0
RPN-4-1,A,Closed,ABILAS,2019,0,0
RPN-4-1,B,Closed,ABILAS,2019,0,0
RPN-4-1,C,Closed,ABILAS,2019,0,0
RPN-4-2,A,Open,ABILAS,2019,0,0
RPN-4-2,B,Open,ABILAS,2019,0,0
RPN-4-2,C,Open,ABILAS,2019,0,0
RPN-5-1,A,Closed,ABILAS,2019,0,0
RPN-5-1,B,Closed,ABILAS,2019,0,0
RPN-5-1,C,Closed,ABILAS,2019,0,0
RPN-5-2,A,Open,ABILAS,2019,0,0
RPN-5-2,B,Open,ABILAS,2019,0,0
RPN-5-2,C,Open,ABILAS,2019,0,0
RPN-6-1,A,Closed,ABILAS,2019,0,0
RPN-6-1,B,Closed,ABILAS,2019,0,0
RPN-6-1,C,Closed,ABILAS,2019,0,0
RPN-6-2,A,Open,ABILAS,2019,0,0
RPN-6-2,B,Open,ABILAS,2019,0,0
RPN-6-2,C,Open,ABILAS,2019,0,0
RPN-7-1,A,Closed,ABILAS,2019,1,0
RPN-7-1,B,Closed,ABILAS,2019,0,0
RPN-7-1,C,Closed,ABILAS,2019,0,0
RPN-7-2,A,Open,ABILAS,2019,0,0
RPN-7-2,B,Open,ABILAS,2019,0,0
RPN-7-2,C,Open,ABILAS,2019,0,0
